306963,7.4,24,Wanderers,en,False,"{""Science Fiction""}",4,1.621875
38718,6.6,59,Reversal of Fortune,en,False,"{""Drama""}",111,7.929751
6520,5.9,319,First Knight,en,False,"{""Action"", ""Adventure"", ""Drama"", ""Romance""}",134,15.178338
11948,7.4,88,"Merry Christmas, Mr. Lawrence",ja,False,"{""Drama"", ""History""}",123,4.455913
769,8.2,3211,GoodFellas,en,False,"{""Drama"", ""Crime""}",145,15.424092
12481,7.3,148,The Big Boss,zh,False,"{""Action""}",100,10.486927
12212,4.4,102,Urban Legends: Final Cut,en,False,"{""Horror""}",97,12.243528
30060,8.0,36,The Plague Dogs,en,False,"{""Adventure"", ""Animation"", ""Drama""}",103,8.302414
509,7.0,1309,Notting Hill,en,False,"{""Romance"", ""Comedy"", ""Drama""}",124,9.874043
43489,5.2,5,Brewsters Millions,en,False,"{""Comedy""}",79,0.810032
44214,7.3,4562,Black Swan,en,False,"{""Drama"", ""Thriller""}",108,12.989056
9540,7.0,176,Dead Ringers,en,False,"{""Drama"", ""Horror"", ""Thriller""}",115,5.53202
64328,6.5,509,The Muppets,en,False,"{""Comedy"", ""Family"", ""Music""}",103,10.214369
48992,6.3,4,I Like It Like That,en,False,"{""Comedy"", ""Drama"", ""Romance""}",104,0.289295
38684,7.0,438,Jane Eyre,en,False,"{""Drama"", ""Romance""}",120,7.089084
5548,7.1,1494,RoboCop,en,False,"{""Action"", ""Thriller"", ""Science Fiction""}",102,13.485583
37924,6.3,39,Sweeney Todd,en,False,"{""Drama"", ""Horror"", ""Thriller"", ""Music""}",90,3.996675
20343,5.2,33,Make Mine Music,en,False,"{""Animation"", ""Family"", ""Music""}",75,5.788405
4879,6.5,25,Ten Little Indians,en,False,"{""Crime"", ""Drama"", ""Mystery"", ""Thriller""}",90,2.922684
2698,5.3,1194,Evan Almighty,en,False,"{""Fantasy"", ""Comedy"", ""Family""}",96,9.156877
1689,6.0,76,Little Buddha,en,False,"{""Drama"", ""History""}",140,5.681522
16636,7.2,43,Spellbound,en,False,"{""Documentary""}",97,2.445503
9072,5.3,269,Little Man,en,False,"{""Comedy"", ""Crime""}",98,7.067602
113290,0.0,0,The Long Way Home,en,False,"{""Documentary"", ""History"", ""War""}",120,0.426526
19101,7.4,207,A Little Princess,en,False,"{""Drama"", ""Family"", ""Fantasy""}",97,7.731725
30502,5.1,30,Big Top Pee-wee,en,False,"{""Comedy"", ""Family""}",86,15.227522
110148,6.5,16,Jesse Stone: Benefit of the Doubt,en,False,"{""Drama"", ""Thriller"", ""Crime"", ""Mystery""}",87,1.870355
553,7.6,619,Dogville,da,False,"{""Crime"", ""Drama"", ""Thriller""}",178,9.808595
20604,7.8,41,Metal: A Headbangers Journey,en,False,"{""Documentary"", ""Music""}",91,1.905009
4518,7.2,346,Elizabeth,en,False,"{""Drama"", ""History""}",124,7.566321
18681,5.3,42,Eye of the Beholder,en,False,"{""Drama"", ""Mystery"", ""Thriller""}",109,3.773058
65215,7.0,113,Family Guy Presents Stewie Griffin: The Untold Story,en,False,"{""Comedy"", ""Animation""}",88,6.365552
44674,7.0,2,After Life,fr,False,"{""Crime"", ""Drama""}",123,0.097876
9099,5.5,96,Sgt. Bilko,en,False,"{""Comedy"", ""Family""}",90,5.70904
48385,4.9,7,Indestructible Man,en,False,"{""Crime"", ""Horror"", ""Science Fiction""}",72,3.692449
9958,6.8,53,Trailer Park Boys: The Movie,en,False,"{""Comedy""}",95,3.172765
10464,6.4,83,"Corrina, Corrina",en,False,"{""Comedy"", ""Drama"", ""Family"", ""Romance""}",115,6.924689
9920,4.8,468,Ultraviolet,en,False,"{""Science Fiction"", ""Action"", ""Thriller""}",87,11.096655
754,6.8,1612,Face/Off,en,False,"{""Action"", ""Crime"", ""Science Fiction"", ""Thriller""}",138,11.467391
75170,7.5,47,Third Star,en,False,"{""Drama""}",92,2.380795
24664,6.3,24,Bamboozled,en,False,"{""Comedy"", ""Drama""}",135,4.380258
49047,7.3,5879,Gravity,en,False,"{""Science Fiction"", ""Thriller"", ""Drama""}",91,18.50194
39128,3.3,7,Ernest In The Army,en,False,"{""Comedy"", ""Family""}",85,1.08121
297,6.9,1174,Meet Joe Black,en,False,"{""Fantasy"", ""Drama"", ""Mystery""}",178,14.026744
765,7.5,760,Evil Dead II,en,False,"{""Horror"", ""Comedy"", ""Fantasy""}",84,13.520764
55058,5.5,2,Love Is All There Is,en,False,"{""Comedy"", ""Romance""}",105,0.453988
618,6.4,109,The Birth of a Nation,en,False,"{""Drama"", ""History"", ""War""}",193,5.113205
12772,5.1,49,Leap of Faith,en,False,"{""Comedy"", ""Drama"", ""Romance""}",108,5.25527
18111,6.1,70,Bride of Re-Animator,en,False,"{""Comedy"", ""Horror"", ""Science Fiction""}",96,8.244989
9255,6.2,463,Hot Shots! Part Deux,en,False,"{""Action"", ""Comedy"", ""War""}",86,13.482371
9306,4.6,148,The Island of Dr. Moreau,en,False,"{""Fantasy"", ""Horror"", ""Science Fiction""}",96,12.725343
10350,4.0,75,Wing Commander,en,False,"{""Action"", ""Science Fiction""}",100,5.924059
14289,5.0,91,Fire Down Below,en,False,"{""Action"", ""Adventure"", ""Crime"", ""Thriller""}",105,7.83099
33245,6.2,9,Its My Party,en,False,"{""Drama""}",110,2.791667
157350,6.9,4784,Divergent,en,False,"{""Adventure"", ""Action"", ""Science Fiction""}",139,21.572585
10601,6.9,671,Peter Pan,en,False,"{""Adventure"", ""Fantasy"", ""Family""}",113,8.98628
43041,5.9,8,The Adventures of Huckleberry Finn,en,False,"{""Drama"", ""Family"", ""Adventure"", ""Comedy""}",107,0.918072
26522,6.2,54,A Soldiers Story,en,False,"{""Drama"", ""Mystery"", ""War""}",101,12.019262
1859,7.3,77,Ninotchka,en,False,"{""Comedy"", ""Romance""}",110,5.120036
131631,6.6,5767,The Hunger Games: Mockingjay - Part 1,en,False,"{""Science Fiction"", ""Adventure"", ""Thriller""}",123,147.098006
9270,6.8,366,Brick,en,False,"{""Drama"", ""Mystery""}",110,9.00314
26963,7.3,184,The Secret of Kells,en,False,"{""Animation"", ""Family"", ""Fantasy""}",75,5.544992
24122,5.9,224,The Rebound,en,False,"{""Comedy""}",95,8.323775
85638,8.3,4,The Scarlet Letter,en,False,"{""Drama""}",115,0.284522
11566,6.3,205,Dave,en,False,"{""Comedy""}",110,13.696394
10477,4.5,180,Driven,en,False,"{""Action""}",116,5.310558
19904,5.4,172,The Stepfather,en,False,"{""Horror"", ""Thriller"", ""Mystery""}",101,6.164529
49126,5.8,34,Audrey Rose,en,False,"{""Fantasy"", ""Drama"", ""Horror"", ""Thriller""}",113,5.862098
853,7.2,1023,Enemy at the Gates,en,False,"{""War""}",131,10.704813
27397,5.8,11,Crossing Delancey,en,False,"{""Comedy"", ""Drama"", ""Romance""}",97,2.00871
87825,6.6,379,Trouble with the Curve,en,False,"{""Drama"", ""Romance""}",111,6.032041
41848,2.7,19,The Amityville Curse,en,False,"{""Horror""}",91,2.416489
47095,6.7,17,House of Cards,en,False,"{""Drama""}",109,4.946028
11456,5.4,115,Domestic Disturbance,en,False,"{""Mystery"", ""Thriller"", ""Crime""}",89,6.353996
11648,5.8,142,Must Love Dogs,en,False,"{""Romance"", ""Comedy""}",98,9.378926
66091,6.1,8,A Cruel Romance,ru,False,"{""Drama"", ""Romance""}",142,0.687325
